1;0.7915;0.2444;1;0.3927;0.2853;0.9005;1;0.9476;0.2853;0.9005;1;0.9476
2;0.2309;1;1;1;0.3482;0.8982;0.8321;0.8639;0.4159;0.8576;0.7855;0.82
3;0.8435;0.2225;1;0.364;0.8208;0.2381;0.7474;0.3611;0.8208;0.2381;0.7474;0.3611
4;0.5373;0.7548;0.6037;0.6708;0.5809;0.6651;0.5376;0.5946;0.6012;0.5715;0.5178;0.5433
5;0.7663;0.4038;1;0.5753;0.9294;0.6879;0.1872;0.2943;0.9248;0.4179;0.2047;0.2748
6;0.7669;0.4025;1;0.5739;0.9213;0.4945;0.2247;0.309;0.9043;0.4535;0.2358;0.3103
7;1;0;0;0;0.9525;0.4945;0.206;0.2909;0.9193;0.4567;0.2975;0.3603
8;1;0;0;0;0.9619;0.5173;0.1188;0.1932;0.9333;0.4923;0.1862;0.2703
9;0.6034;0.4394;0.9997;0.6105;0.9293;0.4499;0.1076;0.1737;0.9384;0.476;0.0967;0.1608
10;0.6041;0.4384;0.9997;0.6095;0.8793;0.6135;0.1275;0.2112;0.8701;0.4612;0.1559;0.2331
11;0.5606;0.4443;0.9997;0.6152;0.9272;0.4604;0.114;0.1827;0.9277;0.4527;0.1146;0.1829
12;0.5625;0.4439;0.9997;0.6148;0.9492;0.5088;0.0786;0.1362;0.8872;0.4587;0.1764;0.2548
13;0.7794;0.2609;1;0.4138;0.9395;0.3026;0.1253;0.1772;0.9518;0.3095;0.1684;0.2182
14;0.7794;0.2609;1;0.4138;0.8276;0.3484;0.196;0.2508;0.9193;0.3139;0.172;0.2223
15;0.7769;0.2489;1;0.3986;0.8801;0.3305;0.135;0.1917;0.8903;0.2793;0.1657;0.208
16;0.7769;0.2489;1;0.3986;0.7583;0.4019;0.2121;0.2777;0.8834;0.4036;0.15;0.2187
17;0.8354;0.1784;1;0.3027;0.8719;0.3607;0.1473;0.2092;0.8931;0.2228;0.1396;0.1717
18;0.8354;0.1784;1;0.3027;0.6755;0.6046;0.3111;0.4108;0.8598;0.2912;0.1968;0.2349